=== references to DAT_18492b850 (write = assignment of the enumerator) ===
  READ from 0x181e960ea  in FUN_181e960d0 @ 0x181e960d0
  READ from 0x18372a69d  in FUN_18372a604 @ 0x18372a604
  READ from 0x182435ca7  in FUN_182435c78 @ 0x182435c78
  READ from 0x182435cdb  in FUN_182435c78 @ 0x182435c78
  READ from 0x183731c35  in FUN_1837317d4 @ 0x1837317d4
  READ from 0x183726be8  in FUN_183726b9c @ 0x183726b9c
  READ from 0x183726bfd  in FUN_183726b9c @ 0x183726b9c
  READ from 0x183732087  in FUN_183731f30 @ 0x183731f30
  READ from 0x1806bbb41  in FUN_1806bb880 @ 0x1806bb880
  READ from 0x180974547  in FUN_180974484 @ 0x180974484
  READ from 0x1806ec898  in FUN_1806ec88c @ 0x1806ec88c
  READ from 0x1806ec8bb  in FUN_1806ec8b8 @ 0x1806ec8b8
  READ from 0x1806ec8d2  in FUN_1806ec8cc @ 0x1806ec8cc
  READ from 0x1806ec9a3  in FUN_1806ec9a0 @ 0x1806ec9a0
  READ from 0x18243d884  in FUN_18243d878 @ 0x18243d878
  READ from 0x1807405f9  in FUN_18074057c @ 0x18074057c
  READ from 0x180740650  in FUN_18074057c @ 0x18074057c
  READ from 0x180740667  in FUN_18074057c @ 0x18074057c
  READ from 0x1807406e7  in FUN_18074057c @ 0x18074057c
  READ from 0x18074078f  in FUN_18074057c @ 0x18074057c
  READ from 0x18074087c  in FUN_18074057c @ 0x18074057c
  READ from 0x1807408e0  in FUN_18074057c @ 0x18074057c
  READ from 0x1807409aa  in FUN_18074057c @ 0x18074057c
  READ from 0x180740a79  in FUN_18074057c @ 0x18074057c
  READ from 0x180771d8a  in FUN_180771bd8 @ 0x180771bd8
  READ from 0x182236102  in FUN_18079a000 @ 0x18079a000
  READ from 0x182467f09  in FUN_182467eec @ 0x182467eec
  READ from 0x1824673cd  in FUN_18246738c @ 0x18246738c
  READ from 0x1807a0701  in FUN_1807a06d0 @ 0x1807a06d0
  READ from 0x1807a1bb8  in FUN_1807a1950 @ 0x1807a1950
  READ from 0x1807a7225  in FUN_1807a6c64 @ 0x1807a6c64
  READ from 0x180da12c2  in FUN_180da1294 @ 0x180da1294
  READ from 0x180b9764f  in FUN_180b975fc @ 0x180b975fc
  READ from 0x180b97729  in FUN_180b975fc @ 0x180b975fc
  READ from 0x180b97749  in FUN_180b975fc @ 0x180b975fc
  READ from 0x1817909b0  in FUN_181790970 @ 0x181790970
  READ from 0x180da42e7  in FUN_180da3f10 @ 0x180da3f10
  READ from 0x181dde5e2  in FUN_181dde5c0 @ 0x181dde5c0
  READ from 0x181ddee9d  in FUN_181ddee80 @ 0x181ddee80
  READ from 0x18243e7ff  in FUN_18243e7b8 @ 0x18243e7b8
  READ from 0x1807aa0e4  in FUN_1807a9ffc @ 0x1807a9ffc
  READ from 0x1807aa20a  in FUN_1807aa1dc @ 0x1807aa1dc
  READ from 0x1807aa7bb  in FUN_1807aa76c @ 0x1807aa76c
  READ from 0x18144787d  in FUN_1814477f4 @ 0x1814477f4
  READ from 0x1814479b7  in FUN_1814477f4 @ 0x1814477f4
  READ from 0x181447aea  in FUN_1814477f4 @ 0x1814477f4
  READ from 0x1812c12d8  in FUN_1812c1288 @ 0x1812c1288
  READ from 0x1812c1351  in FUN_1812c1288 @ 0x1812c1288
  READ from 0x1812c136d  in FUN_1812c1288 @ 0x1812c1288
  READ from 0x180972ef1  in FUN_180972e90 @ 0x180972e90
  READ from 0x180972ff8  in FUN_180972e90 @ 0x180972e90
  READ from 0x180973018  in FUN_180972e90 @ 0x180972e90
  READ from 0x180da15f3  in FUN_180da15c8 @ 0x180da15c8
  READ from 0x1807fe474  in FUN_1807fe410 @ 0x1807fe410
  READ from 0x180da1fb6  in FUN_180da1fb0 @ 0x180da1fb0
  READ from 0x180811938  in FUN_1808118b0 @ 0x1808118b0
  READ from 0x18081228b  in FUN_1808121e0 @ 0x1808121e0
  READ from 0x1808978d4  in FUN_180897888 @ 0x180897888
  READ from 0x180867874  in FUN_180867870 @ 0x180867870
  READ from 0x1811a6baa  in FUN_1811a6b88 @ 0x1811a6b88
  READ from 0x1811a6c29  in FUN_1811a6b88 @ 0x1811a6b88
  READ from 0x1808c2129  in FUN_1808c20ec @ 0x1808c20ec
  READ from 0x1808c2151  in FUN_1808c20ec @ 0x1808c20ec
  READ from 0x182256c34  in FUN_1808f0dd8 @ 0x1808f0dd8
  READ from 0x1836c4668  in FUN_1836c4618 @ 0x1836c4618
  READ from 0x180922cd1  in FUN_180922b10 @ 0x180922b10
  READ from 0x1820f2af3  in FUN_1820f2ac0 @ 0x1820f2ac0
  READ from 0x18225bf6e  in FUN_18096202c @ 0x18096202c
  READ from 0x180963b8d  in FUN_180963af4 @ 0x180963af4
  READ from 0x180962122  in FUN_1809620e8 @ 0x1809620e8
  READ from 0x1809a20db  in FUN_1809a2074 @ 0x1809a2074
  READ from 0x1809b693d  in FUN_1809b6828 @ 0x1809b6828
  READ from 0x1809b69ab  in FUN_1809b6828 @ 0x1809b6828
  READ from 0x1809b6bde  in FUN_1809b6aa8 @ 0x1809b6aa8
  READ from 0x1809b6de9  in FUN_1809b6d24 @ 0x1809b6d24
  READ from 0x1809b8529  in FUN_1809b82f0 @ 0x1809b82f0
  READ from 0x180f7f074  in FUN_180f7f01c @ 0x180f7f01c
